wallet,nft_count,token_ids,contract,snapshot_time
0xabe465c13ebd03911087bb32a32cc75499d8103c,2,"65817695907916436807715261055106982877206550517453331429018442508823800472678,42116730660513137482748156101387063152956681787426267832903974114129422398914",0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0x9858a66ae635961a85e798b7eaae94b1ea6e5ad8,2,"100812950706354045141502219250243842367951414519638546996663184184195331638067,86353205909777360121112227915095513071588851971634416022836038255652925291285",0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0x6e6b88c679f3036aa8680350c42a2cd9cba0f8a4,2,"55244623590078777287562910872597778970540356213904778187935944501036962594724,105961036912818827050107784043134958491454266066675447381322338562997271810899",0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0x26a0f386140f84e3531d30926d6a053cadeb94f8,2,"106702711504930812975259330580145844456523118328154089106709034088613569723188,49989620739698212389538711969774038535655966659480414559686269522808459233340",0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0xfed513eafbedab7ec12ff0e00518983cee568c89,1,41757946277625397189919104209716146736730680098488903616774442208424241457705,0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0xfb8a021fd7ef49cc5acff991dde1a0024b3c58a1,1,95900661126412126290279094230681684124336473398940212479679035154877359598288,0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0xf7c72685cc11e8a6202627ac72496ebdfe7046fe,1,106592954426214592955471417408568887953341372290320180561117851194577799577101,0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0xeb7ddd2da911c00c90a3ee44f59add4ccadff17c,1,6032468071959776375899132604854937145871268982625138749782170466620706293132,0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0xdb01db0928f50c8897444659d23162430646c672,1,108802432536386726715435325125419414726079188589049835936470847945982210396613,0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0xda68ce3823354cbf3d53a32f01bcee8699cc2084,1,24604954084652800353554187959889252909150549391923236040736417689804185895959,0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0xd8d058f2f679c8228f1258b453b4fdeb470b4477,1,17406156415095383111608490075581015869069101924584856469314763026679777053297,0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0xc4d14953c039221e795e90b51e802c05d5e88e12,1,90455381550698285119957923533676538418246900394988513602111413518400081718944,0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0xc4b7b5df0c7af5d50c7c8c747768ac16820194dc,1,111169043544503728952886363633495435040517075728721677513222228701675895468795,0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0xbef71f9eca530ee69119083150d3b1cd41320429,1,89479720942761481168941971879089104630289866623799044501175884070252272313117,0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0xa15bcf6695aa600bd19deafbda74a0e02b225b96,1,36556172593672526183546842827370078386543276304897199096514357911822680259288,0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
